frequency_mhz,configuration,dwell_us,round,control,phase_and_closure_pass,first_phase_pass_ms,maximum_observable_phase_bias_deg,maximum_observable_gain_error_db,error,analysis_json
5800.0,A,200,1,False,True,50.83204270193895,3.26371212191503,0.6409983903750694,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r1-200us-20260908T164419.671459Z/independent-analysis.json
5800.0,A,200,1,True,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r1-200us-control-20260908T164428.709688Z/independent-analysis.json
5800.0,A,1000,1,False,True,25.118057695986234,2.100591212846378,0.32423361378343113,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r1-1000us-20260908T164443.275303Z/independent-analysis.json
5800.0,A,1000,2,False,True,25.115890690303072,2.6144991856683144,0.21237841789868378,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r2-1000us-20260908T164452.460598Z/independent-analysis.json
5800.0,A,200,2,True,True,50.82379704187223,2.042286281510337,0.2757026715711775,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r2-200us-control-20260908T164507.629421Z/independent-analysis.json
5800.0,A,200,2,False,True,50.827333257799,2.2731725518379915,0.3140702360882788,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r2-200us-20260908T164516.579171Z/independent-analysis.json
5800.0,A,200,3,False,True,100.15815113861242,1.9316496480153318,0.4182193361405596,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r3-200us-20260908T164525.695849Z/independent-analysis.json
5800.0,A,1000,3,False,True,25.113254715827736,1.7042150428339995,0.3927989981949891,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r3-1000us-20260908T164540.641590Z/independent-analysis.json
5800.0,A,200,3,True,False,,75.98178598550847,12.583383315988858,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r3-200us-control-20260908T164555.467050Z/independent-analysis.json
2475.0,A,200,1,False,False,,169.89798212506497,45.52067307179154,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r1-200us-20260908T171801.183781Z/independent-analysis.json
2475.0,A,200,1,True,False,,178.91096244605254,27.662262491252264,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r1-200us-control-20260908T171810.417243Z/independent-analysis.json
2475.0,A,1000,1,False,True,6.277672522573397,0.7756686979482713,0.38280007997683047,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r1-1000us-20260908T171825.016120Z/independent-analysis.json
2475.0,A,200,2,True,False,,178.38585281888493,27.200474816937195,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-200us-control-20260908T171839.680101Z/independent-analysis.json
2475.0,A,200,2,False,False,,172.5599518781959,44.10471581849501,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-200us-20260908T171848.835237Z/independent-analysis.json
2475.0,A,1000,2,False,True,6.2775899983659835,0.8235880552826866,0.31378648638222684,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r2-1000us-20260908T171903.465535Z/independent-analysis.json
2475.0,A,200,3,False,False,,178.33126408981568,36.92289532025522,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-20260908T171918.291318Z/independent-analysis.json
2475.0,A,200,3,True,False,,176.737572878038,42.67697484391764,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-200us-control-20260908T171927.665074Z/independent-analysis.json
2475.0,A,1000,3,False,True,6.278030905862213,0.696124468378828,0.5012539632915515,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T171600754199Z-r3-1000us-20260908T171942.631329Z/independent-analysis.json
5811.0,A,200,1,True,True,20.935039673699947,3.998361247111612,0.6843864594106143,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-200us-control-20260908T222359.927361Z/independent-analysis.json
5811.0,A,100,1,False,False,,46.22870107473894,2.077547084667968,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-100us-20260908T222415.183804Z/independent-analysis.json
5811.0,A,50,1,False,False,,57.71678539618023,5.2286094277052655,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-50us-20260908T222430.717395Z/independent-analysis.json
5811.0,A,1000,1,False,True,25.119443894212544,2.086679775906985,0.47031208771731225,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-1000us-20260908T222445.466742Z/independent-analysis.json
5811.0,A,200,1,False,False,,96.27792288126997,11.78100587042227,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-200us-20260908T222501.075648Z/independent-analysis.json
5811.0,A,25,1,False,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r1-25us-20260908T222516.265695Z/independent-analysis.json
5811.0,A,50,2,False,False,100.50900155149932,10.222186481154035,1.638116558381514,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r2-50us-20260908T222531.402805Z/independent-analysis.json
5811.0,A,1000,2,False,True,25.121035576979843,5.091055763296132,0.7732625880917612,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r2-1000us-20260908T222546.698760Z/independent-analysis.json
5811.0,A,25,2,False,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r2-25us-20260908T222601.891685Z/independent-analysis.json
5811.0,A,200,2,True,True,50.84360318948853,7.234115358076957,0.6764103056860338,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r2-200us-control-20260908T222617.293187Z/independent-analysis.json
5811.0,A,200,2,False,False,50.84359810772015,32.80151317219442,1.4171483687340645,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r2-200us-20260908T222626.631316Z/independent-analysis.json
5811.0,A,100,2,False,False,,36.31828667455114,2.4624310621293533,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r2-100us-20260908T222641.322420Z/independent-analysis.json
5811.0,A,200,3,False,True,20.93667073828589,2.4965837091787346,0.7647465310217711,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-200us-20260908T222656.033948Z/independent-analysis.json
5811.0,A,50,3,False,False,,60.47945470869755,7.354555845978239,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-50us-20260908T222710.858363Z/independent-analysis.json
5811.0,A,1000,3,False,True,25.122742634000723,3.797925665320199,0.17546277719431325,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-1000us-20260908T222725.732602Z/independent-analysis.json
5811.0,A,200,3,True,False,50.84302003501171,10.597398821644171,1.3176581215609344,,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-200us-control-20260908T222740.934092Z/independent-analysis.json
5811.0,A,25,3,False,False,,,,autonomous C6 harmonic frequency estimates are inconsistent,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T222235133339Z-r3-25us-20260908T222755.811703Z/independent-analysis.json
